name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Fish Curry,568,Non-Vegetarian,Lunch,1 serving,/static/images/fish cury.jpg,52 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish pieces with turmeric, salt, and lemon juice.

Heat oil; add mustard seeds, curry leaves, chopped onions and garlic; sauté.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt; cook till oil separates.

Add fish pieces and simmer till cooked.

Garnish with coriander leaves.",30,24,24
Mutton Curry,572,Non-Vegetarian,Lunch,1 serving,/static/images/mutton curyy.jpg,53 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat oil; sauté 1 chopped onion till golden.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add 500g mutton pieces, turmeric, chili powder, coriander powder, and salt.

Cover and cook on low heat till mutton is tender (45-60 mins).

Garnish with fresh coriander before serving.",31,25,25
Egg Masala,576,Non-Vegetarian,Dinner,1 serving,/static/images/egg masala.jpg,54 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",32,26,26
Keema,580,Non-Vegetarian,Snacks,1 serving,/static/images/keema.jpg,55 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat 2 tbsp oil; sauté 1 finely chopped onion till golden.

Add 2 tsp ginger-garlic paste; cook 2 minutes.

Add 500g minced meat, salt, 1 tsp turmeric, 1 tsp red chili powder, and 1 tsp garam masala.

Cook till meat is browned and cooked through, stirring occasionally.",18,27,27
Chicken 65,584,Non-Vegetarian,Lunch,1 serving,/static/images/chicken 65.jpg,56 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp lemon juice, salt to taste, and 2 tbsp yogurt.

Keep marinated chicken for at least 30 minutes.

Heat oil in deep pan; deep fry marinated chicken pieces till crispy and golden brown.

Remove and toss with fried curry leaves, green chilies, and chaat masala.

Serve hot as appetizer or snack.",19,28,28
Fish Tikka,588,Non-Vegetarian,Lunch,1 serving,/static/images/fish tikka.jpg,57 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish cubes with yogurt, ginger-garlic paste, turmeric, chili, and salt.

Thread on skewers.

Grill till cooked and charred.

Serve with mint chutney.",20,29,29
Prawns Fry,592,Non-Vegetarian,Dinner,1 serving,/static/images/prawns fry.jpg,58 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Clean and devein 250g prawns; marinate with 1/2 tsp turmeric, red chili powder, salt, and lemon juice. Rest for 15 minutes.

Heat 2 tbsp oil in a pan; add 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, and chopped curry leaves.

When seeds crackle, add 1 sliced onion and sauté till golden.

Add 1 tsp ginger-garlic paste; cook for 2 minutes.

Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt; cook for 2 mins.

Add prawns; cook on high heat for 4-5 minutes till prawns turn pink and crispy.

Garnish with chopped coriander and serve hot.",21,30,30
Chicken Soup,596,Non-Vegetarian,Lunch,1 serving,/static/images/chicken soup.jpg,59 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Boil 500g chicken pieces in 6 cups water with salt, pepper, 2 cloves garlic, 1 inch ginger, and 1 bay leaf.

Remove chicken when cooked; shred meat.

Add chopped carrots, celery, and onions; simmer till vegetables tender.

Return shredded chicken to pot, adjust seasoning.

Serve hot, garnished with fresh parsley.",22,31,31
Chicken Korma,600,Non-Vegetarian,Lunch,1 serving,/static/images/chicken korma.jpg,60 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Sauté 1 large chopped onion and 1 tbsp ginger-garlic paste in 2 tbsp ghee till golden.

Add 1/4 cup cashew paste, 1 tsp garam masala, turmeric, and salt.

Add 500g chicken pieces and 1/2 cup yogurt, cook covered till tender.

Stir in 1/4 cup cream and cook 5 more minutes.

Garnish with fried onions and chopped nuts before serving.",23,32,12
Butter Chicken,604,Non-Vegetarian,Lunch,1 serving,/static/images/butter chicken.jpg,61 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1/2 cup yogurt, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, and salt to taste. Refrigerate for at least 30 minutes.

Heat 2 tbsp oil and 2 tbsp butter in a pan on medium heat.

Add 1 large finely chopped onion and sauté until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes until fragrant.

Pour in 1 cup tomato puree, then add 1 tsp coriander powder, 1 tsp garam masala, 1/2 tsp red chili powder, and salt to taste. Cook the mixture until the oil begins to separate from the masala.

Add the marinated chicken pieces, stir well, cover, and cook on low heat for 20-25 minutes or until the chicken is tender and cooked through.

Stir in 1/4 cup fresh cream and 1 tbsp butter, simmer for another 5 minutes.

Garnish with chopped fresh coriander leaves and serve hot with naan or steamed rice.",24,33,13
Fish Curry,608,Non-Vegetarian,Dinner,1 serving,/static/images/fish cury.jpg,62 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish pieces with turmeric, salt, and lemon juice.

Heat oil; add mustard seeds, curry leaves, chopped onions and garlic; sauté.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt; cook till oil separates.

Add fish pieces and simmer till cooked.

Garnish with coriander leaves.",25,34,14
Mutton Curry,612,Non-Vegetarian,Lunch,1 serving,/static/images/mutton curyy.jpg,63 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat oil; sauté 1 chopped onion till golden.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add 500g mutton pieces, turmeric, chili powder, coriander powder, and salt.

Cover and cook on low heat till mutton is tender (45-60 mins).

Garnish with fresh coriander before serving.",26,35,15
Egg Masala,616,Non-Vegetarian,Breakfast,1 serving,/static/images/egg masala.jpg,64 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",27,36,16
Keema,620,Non-Vegetarian,Lunch,1 serving,/static/images/keema.jpg,65 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat 2 tbsp oil; sauté 1 finely chopped onion till golden.

Add 2 tsp ginger-garlic paste; cook 2 minutes.

Add 500g minced meat, salt, 1 tsp turmeric, 1 tsp red chili powder, and 1 tsp garam masala.

Cook till meat is browned and cooked through, stirring occasionally.",28,37,17
Chicken 65,624,Non-Vegetarian,Dinner,1 serving,/static/images/chicken 65.jpg,66 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp lemon juice, salt to taste, and 2 tbsp yogurt.

Keep marinated chicken for at least 30 minutes.

Heat oil in deep pan; deep fry marinated chicken pieces till crispy and golden brown.

Remove and toss with fried curry leaves, green chilies, and chaat masala.

Serve hot as appetizer or snack.",29,38,18
Fish Tikka,628,Non-Vegetarian,Lunch,1 serving,/static/images/fish tikka.jpg,67 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish cubes with yogurt, ginger-garlic paste, turmeric, chili, and salt.

Thread on skewers.

Grill till cooked and charred.

Serve with mint chutney.",30,39,19
Prawns Fry,632,Non-Vegetarian,Breakfast,1 serving,/static/images/prawns fry.jpg,68 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Clean and devein 250g prawns; marinate with 1/2 tsp turmeric, red chili powder, salt, and lemon juice. Rest for 15 minutes.

Heat 2 tbsp oil in a pan; add 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, and chopped curry leaves.

When seeds crackle, add 1 sliced onion and sauté till golden.

Add 1 tsp ginger-garlic paste; cook for 2 minutes.

Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt; cook for 2 mins.

Add prawns; cook on high heat for 4-5 minutes till prawns turn pink and crispy.

Garnish with chopped coriander and serve hot.",31,40,20
Chicken Soup,636,Non-Vegetarian,Lunch,1 serving,/static/images/chicken soup.jpg,69 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Boil 500g chicken pieces in 6 cups water with salt, pepper, 2 cloves garlic, 1 inch ginger, and 1 bay leaf.

Remove chicken when cooked; shred meat.

Add chopped carrots, celery, and onions; simmer till vegetables tender.

Return shredded chicken to pot, adjust seasoning.

Serve hot, garnished with fresh parsley.",32,41,21
Greek Salad,120,Vegan,Salad,1 bowl,/static/images/greek salad.jpg,15 min,"Cucumber, Tomato, Bell Pepper, Olives, Red Onion, Olive Oil, Lemon Juice, Salt, Black Pepper","1. Chop all vegetables. 2. Toss with olive oil, lemon juice, salt, and pepper. 3. Serve chilled.",3,9,5
Fruit Chaat & Peanuts,140,Vegan,Snacks,"1 bowl fruit, 10 peanuts",/static/images/Fruit Chaat.jpg,10 min,"Apple, Banana, Orange, Peanuts, Chaat masala, Lemon juice","1. Chop fruits. 2. Mix with peanuts, chaat masala, lemon juice. Serve fresh.",3,18,6
Oats Chilla,180,Vegan,Breakfast,2 chilla,/static/images/Oats Chilla.jpg,20 min,"Oats (100g), Onion, Tomato, Green chili, Coriander, Turmeric, Salt","1. Grind oats, mix with chopped vegetables and spices. 2. Spread on tawa, cook both sides. Serve hot.",6,28,5
Qui a Salad,220,Vegan,Lunch,1 bowl,/static/images/Quinoa a Salad.jpg,25 min,"Quinoa (100g), Cucumber, Tomato, Bell pepper, Lemon juice, Olive oil, Salt","1. Cook quinoa till fluffy. 2. Mix with chopped vegetables, lemon juice, olive oil. Serve chilled.",8,32,7
Vegan Curry,240,Vegan,Dinner,1 bowl,/static/images/vegan curry.jpg,35 min,"Chickpeas (100g), Coconut milk, Onion, Tomato, Curry powder, Garlic, Ginger","Heat 2 tbsp oil; sauté 1 chopped onion, 2 tomatoes, 1 tsp cumin, turmeric, chili powder.

Add 1 cup mixed vegetables and 1/2 cup chickpeas or lentils.

Pour 1 cup coconut milk; simmer till vegetables tender.

Garnish with coriander leaves.

Serve hot with rice or bread.",10,28,9
Smoothie Bowl,180,Vegan,Breakfast,1 bowl,/static/images/Smoothie Bowl.jpg,10 min,"Banana, Berries, Almond milk, Chia seeds, Granola","1. Blend banana, berries, almond milk. 2. Pour in bowl, top with chia seeds, granola. Serve cold.",5,32,4
Lentil Soup,200,Vegan,Dinner,1 bowl,/static/images/Lentil Soup.jpg,30 min,"Red lentils (100g), Carrot, Celery, Onion, Vegetable stock, Cumin, Turmeric","1. Saute vegetables. 2. Add lentils, stock, spices. 3. Cook till lentils are soft. Blend if desired. Serve hot.",12,30,3
Tofu Stir Fry,250,Vegan,Lunch,1 plate,/static/images/Tofu Stir Fry.jpg,25 min,"Tofu (150g), Bell peppers, Broccoli, Soy sauce, Garlic, Ginger, Sesame oil","1. Cut tofu, vegetables. 2. Stir fry in sesame oil with garlic, ginger. 3. Add soy sauce. Serve with rice or noodles.",14,18,12
Chia Pudding,150,Vegan,Snacks,1 cup,/static/images/Chia Pudding.jpg,5 min + overnight,"Chia seeds (30g), Almond milk, Maple syrup, Vanilla extract, Berries for topping","1. Mix chia seeds with almond milk, maple syrup, vanilla. 2. Refrigerate overnight. 3. Top with berries before serving.",4,18,7
Vegan Burger,320,Vegan,Lunch,1 burger,/static/images/Vegan Burger.jpg,30 min,"Black bean patty, Burger bun, Lettuce, Tomato, Onion, Vegan mayo, Pickles","Mash 1 cup cooked beans (chickpeas or black beans).

Add 1/4 cup oats, 1 chopped onion, 1 tsp cumin powder, garlic powder, salt, pepper.

Form into patties.

Grill or fry till golden on both sides.

Serve with lettuce, tomato, vegan mayonnaise inside buns.",12,42,10
Hummus Bowl,150,Vegan,Breakfast,1 serving,/static/images/Hummus Bowl.jpg,15 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup cooked chickpeas, 2 tbsp tahini, 1 clove garlic, juice of 1 lemon, and salt to taste in food processor until smooth.

Drizzle with olive oil, sprinkle paprika and chopped parsley.

Serve with sliced cucumbers, carrots, and pita bread.",5,25,5
Vegan Tacos,153,Vegan,Lunch,1 serving,/static/images/Vegan Tacos.jpg,16 min,"Plant-based ingredients, vegetables, grains as needed","Fill whole wheat tortillas with spiced black beans, chopped lettuce, tomato, onion, and avocado.

Add vegan salsa and vegan sour cream.

Fold and serve.",6,26,6
Buddha Bowl,156,Vegan,Dinner,1 serving,/static/images/boodhabowl.jpg,17 min,"Plant-based ingredients, vegetables, grains as needed","Cook 1 cup quinoa or brown rice as the base; keep warm.

Roast or steam assorted vegetables like sweet potatoes (cut into cubes), broccoli florets, and chickpeas until tender.

Prepare a dressing using 2 tbsp tahini, 1 tbsp lemon juice, 1 tsp maple syrup or honey, and salt to taste. Mix well.

In a bowl, arrange the cooked quinoa or rice, roasted vegetables, and chickpeas in separate sections.

Drizzle the dressing over the bowl evenly.

Garnish with sliced avocado, pumpkin seeds, and fresh herbs like parsley or cilantro.

Serve fresh, either warm or at room temperature.",7,27,7
Green Smoothie,159,Vegan,Snacks,1 serving,/static/images/Green Smoothie.jpg,18 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup fresh spinach, 1 banana, 1/2 cup plain yogurt, 1 tsp honey, and 1/2 cup water until smooth.

Pour into glass, serve chilled.",8,28,8
Vegan Pizza,162,Vegan,Salad,1 serving,/static/images/Vegan Pizza.jpg,19 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",9,29,9
Falafel,165,Vegan,Breakfast,1 serving,/static/images/Falafel.jpg,20 min,"Plant-based ingredients, vegetables, grains as needed","Soak 1 cup chickpeas overnight, grind to coarse paste with onion, garlic, coriander, cumin, salt, and pepper.

Shape into small balls.

Deep fry in hot oil till golden brown.

Serve with tahini sauce or pita bread.",10,30,10
Vegan Pasta,168,Vegan,Lunch,1 serving,/static/images/Vegan Pasta Primavera.jpg,21 min,"Plant-based ingredients, vegetables, grains as needed","Cook 150g pasta till al dente; set aside.

Stir fry mixed veggies (bell peppers, zucchini, carrots) in 2 tbsp olive oil.

Add cooked pasta, 1/4 cup tomato sauce, basil, oregano.

Mix well; cook 2 mins.

Serve hot with vegan cheese topping.",11,31,11
Vegetable Soup,171,Vegan,Dinner,1 serving,/static/images/Vegetable Soup.jpg,22 min,"Plant-based ingredients, vegetables, grains as needed","Chop vegetables (carrots, beans, potato, spinach).

Boil in 4 cups water with salt, pepper, and herbs till tender.

Puree partially if desired, or serve chunky.

Garnish with coriander and lemon.",12,32,12
Avocado Toast,174,Vegan,Snacks,1 serving,/static/images/avacadotoast.jpg,23 min,"Plant-based ingredients, vegetables, grains as needed","Toast 2 slices of whole grain or multigrain bread until golden and crispy.

Mash 1 ripe avocado in a bowl with 1/4 tsp salt, 1/4 tsp black pepper, and 1 tsp lemon juice.

Spread the mashed avocado evenly on the toasted bread slices.

Optionally, sprinkle red chili flakes, chopped fresh herbs (like coriander or parsley), or seeds (like sesame or pumpkin) over the top.

Serve immediately as a healthy breakfast or snack",13,33,13
Vegan Wrap,177,Vegan,Salad,1 serving,/static/images/Vegan Wrap.jpg,24 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",14,34,14
Hummus Bowl,180,Vegan,Breakfast,1 serving,/static/images/Hummus Bowl.jpg,25 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup cooked chickpeas, 2 tbsp tahini, 1 clove garlic, juice of 1 lemon, and salt to taste in food processor until smooth.

Drizzle with olive oil, sprinkle paprika and chopped parsley.

Serve with sliced cucumbers, carrots, and pita bread.",5,35,15
Vegan Tacos,183,Vegan,Lunch,1 serving,/static/images/Vegan Tacos.jpg,26 min,"Plant-based ingredients, vegetables, grains as needed","Fill whole wheat tortillas with spiced black beans, chopped lettuce, tomato, onion, and avocado.

Add vegan salsa and vegan sour cream.

Fold and serve.",6,36,16
Buddha Bowl,186,Vegan,Dinner,1 serving,/static/images/boodhabowl.jpg,27 min,"Plant-based ingredients, vegetables, grains as needed","Cook 1 cup quinoa or brown rice as the base; keep warm.

Roast or steam assorted vegetables like sweet potatoes (cut into cubes), broccoli florets, and chickpeas until tender.

Prepare a dressing using 2 tbsp tahini, 1 tbsp lemon juice, 1 tsp maple syrup or honey, and salt to taste. Mix well.

In a bowl, arrange the cooked quinoa or rice, roasted vegetables, and chickpeas in separate sections.

Drizzle the dressing over the bowl evenly.

Garnish with sliced avocado, pumpkin seeds, and fresh herbs like parsley or cilantro.

Serve fresh, either warm or at room temperature.",7,37,5
Green Smoothie,189,Vegan,Snacks,1 serving,/static/images/Green Smoothie.jpg,28 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup fresh spinach, 1 banana, 1/2 cup plain yogurt, 1 tsp honey, and 1/2 cup water until smooth.

Pour into glass, serve chilled.",8,38,6
Vegan Pizza,192,Vegan,Salad,1 serving,/static/images/Vegan Pizza.jpg,29 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",9,39,7
Falafel,195,Vegan,Breakfast,1 serving,/static/images/Falafel.jpg,30 min,"Plant-based ingredients, vegetables, grains as needed","Soak 1 cup chickpeas overnight, grind to coarse paste with onion, garlic, coriander, cumin, salt, and pepper.

Shape into small balls.

Deep fry in hot oil till golden brown.

Serve with tahini sauce or pita bread.",10,40,8
Vegan Pasta,198,Vegan,Lunch,1 serving,/static/images/Vegan Pasta Primavera.jpg,31 min,"Plant-based ingredients, vegetables, grains as needed","Cook 150g pasta till al dente; set aside.

Stir fry mixed veggies (bell peppers, zucchini, carrots) in 2 tbsp olive oil.

Add cooked pasta, 1/4 cup tomato sauce, basil, oregano.

Mix well; cook 2 mins.

Serve hot with vegan cheese topping.",11,41,9
Vegetable Soup,201,Vegan,Dinner,1 serving,/static/images/Vegetable Soup.jpg,32 min,"Plant-based ingredients, vegetables, grains as needed","Chop vegetables (carrots, beans, potato, spinach).

Boil in 4 cups water with salt, pepper, and herbs till tender.

Puree partially if desired, or serve chunky.

Garnish with coriander and lemon.",12,42,10
Avocado Toast,204,Vegan,Snacks,1 serving,/static/images/avacadotoast.jpg,33 min,"Plant-based ingredients, vegetables, grains as needed","Toast 2 slices of whole grain or multigrain bread until golden and crispy.

Mash 1 ripe avocado in a bowl with 1/4 tsp salt, 1/4 tsp black pepper, and 1 tsp lemon juice.

Spread the mashed avocado evenly on the toasted bread slices.

Optionally, sprinkle red chili flakes, chopped fresh herbs (like coriander or parsley), or seeds (like sesame or pumpkin) over the top.

Serve immediately as a healthy breakfast or snack",13,43,11
Vegan Wrap,207,Vegan,Salad,1 serving,/static/images/Vegan Wrap.jpg,34 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",14,44,12
Hummus Bowl,210,Vegan,Breakfast,1 serving,/static/images/Hummus Bowl.jpg,35 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup cooked chickpeas, 2 tbsp tahini, 1 clove garlic, juice of 1 lemon, and salt to taste in food processor until smooth.

Drizzle with olive oil, sprinkle paprika and chopped parsley.

Serve with sliced cucumbers, carrots, and pita bread.",5,45,13
Vegan Tacos,213,Vegan,Lunch,1 serving,/static/images/Vegan Tacos.jpg,36 min,"Plant-based ingredients, vegetables, grains as needed","Fill whole wheat tortillas with spiced black beans, chopped lettuce, tomato, onion, and avocado.

Add vegan salsa and vegan sour cream.

Fold and serve.",6,46,14
Buddha Bowl,216,Vegan,Dinner,1 serving,/static/images/boodhabowl.jpg,37 min,"Plant-based ingredients, vegetables, grains as needed","Cook 1 cup quinoa or brown rice as the base; keep warm.

Roast or steam assorted vegetables like sweet potatoes (cut into cubes), broccoli florets, and chickpeas until tender.

Prepare a dressing using 2 tbsp tahini, 1 tbsp lemon juice, 1 tsp maple syrup or honey, and salt to taste. Mix well.

In a bowl, arrange the cooked quinoa or rice, roasted vegetables, and chickpeas in separate sections.

Drizzle the dressing over the bowl evenly.

Garnish with sliced avocado, pumpkin seeds, and fresh herbs like parsley or cilantro.

Serve fresh, either warm or at room temperature.",7,47,15
Green Smoothie,219,Vegan,Snacks,1 serving,/static/images/Green Smoothie.jpg,38 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup fresh spinach, 1 banana, 1/2 cup plain yogurt, 1 tsp honey, and 1/2 cup water until smooth.

Pour into glass, serve chilled.",8,48,16
Vegan Pizza,222,Vegan,Salad,1 serving,/static/images/Vegan Pizza.jpg,39 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",9,49,5
Falafel,225,Vegan,Breakfast,1 serving,/static/images/Falafel.jpg,40 min,"Plant-based ingredients, vegetables, grains as needed","Soak 1 cup chickpeas overnight, grind to coarse paste with onion, garlic, coriander, cumin, salt, and pepper.

Shape into small balls.

Deep fry in hot oil till golden brown.

Serve with tahini sauce or pita bread.",10,50,6
Vegan Pasta,228,Vegan,Lunch,1 serving,/static/images/Vegan Pasta Primavera.jpg,41 min,"Plant-based ingredients, vegetables, grains as needed","Cook 150g pasta till al dente; set aside.

Stir fry mixed veggies (bell peppers, zucchini, carrots) in 2 tbsp olive oil.

Add cooked pasta, 1/4 cup tomato sauce, basil, oregano.

Mix well; cook 2 mins.

Serve hot with vegan cheese topping.",11,51,7
Vegetable Soup,231,Vegan,Dinner,1 serving,/static/images/Vegetable Soup.jpg,42 min,"Plant-based ingredients, vegetables, grains as needed","Chop vegetables (carrots, beans, potato, spinach).

Boil in 4 cups water with salt, pepper, and herbs till tender.

Puree partially if desired, or serve chunky.

Garnish with coriander and lemon.",12,52,8
Avocado Toast,234,Vegan,Snacks,1 serving,/static/images/avacadotoast.jpg,43 min,"Plant-based ingredients, vegetables, grains as needed","Toast 2 slices of whole grain or multigrain bread until golden and crispy.

Mash 1 ripe avocado in a bowl with 1/4 tsp salt, 1/4 tsp black pepper, and 1 tsp lemon juice.

Spread the mashed avocado evenly on the toasted bread slices.

Optionally, sprinkle red chili flakes, chopped fresh herbs (like coriander or parsley), or seeds (like sesame or pumpkin) over the top.

Serve immediately as a healthy breakfast or snack",13,53,9
Vegan Wrap,237,Vegan,Salad,1 serving,/static/images/Vegan Wrap.jpg,44 min,"Plant-based ingredients, vegetables, grains as needed","Prepare the crust: Mix 1.5 cups almond flour, 1/4 cup tapioca flour, 1/4 tsp salt, 1/2 tsp baking powder, 2 tbsp olive oil, and 1/4 cup water. Knead into a soft dough.

Roll the dough into a circle on parchment paper to desired thickness.

Bake in preheated oven at 180°C (350°F) for 10-12 minutes until lightly golden.

Prepare toppings: Use tomato sauce, sliced vegetables (bell peppers, onions, mushrooms, olives), and vegan cheese.

Spread the tomato sauce over the baked crust.

Add vegetables and sprinkle vegan cheese on top.

Bake again at 180°C (350°F) for 10 minutes until cheese melts.

Garnish with fresh herbs (basil or oregano).

Slice and serve hot.",14,54,10
Hummus Bowl,240,Vegan,Breakfast,1 serving,/static/images/Hummus Bowl.jpg,45 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup cooked chickpeas, 2 tbsp tahini, 1 clove garlic, juice of 1 lemon, and salt to taste in food processor until smooth.

Drizzle with olive oil, sprinkle paprika and chopped parsley.

Serve with sliced cucumbers, carrots, and pita bread.",5,55,11
Vegan Tacos,243,Vegan,Lunch,1 serving,/static/images/Vegan Tacos.jpg,46 min,"Plant-based ingredients, vegetables, grains as needed","Fill whole wheat tortillas with spiced black beans, chopped lettuce, tomato, onion, and avocado.

Add vegan salsa and vegan sour cream.

Fold and serve.",6,56,12
Buddha Bowl,246,Vegan,Dinner,1 serving,/static/images/boodhabowl.jpg,47 min,"Plant-based ingredients, vegetables, grains as needed","Cook 1 cup quinoa or brown rice as the base; keep warm.

Roast or steam assorted vegetables like sweet potatoes (cut into cubes), broccoli florets, and chickpeas until tender.

Prepare a dressing using 2 tbsp tahini, 1 tbsp lemon juice, 1 tsp maple syrup or honey, and salt to taste. Mix well.

In a bowl, arrange the cooked quinoa or rice, roasted vegetables, and chickpeas in separate sections.

Drizzle the dressing over the bowl evenly.

Garnish with sliced avocado, pumpkin seeds, and fresh herbs like parsley or cilantro.

Serve fresh, either warm or at room temperature.",7,57,13
Green Smoothie,249,Vegan,Snacks,1 serving,/static/images/Green Smoothie.jpg,48 min,"Plant-based ingredients, vegetables, grains as needed","Blend 1 cup fresh spinach, 1 banana, 1/2 cup plain yogurt, 1 tsp honey, and 1/2 cup water until smooth.

Pour into glass, serve chilled.",8,58,14
